image_ID,tf2_ssim,ski_ssim,tf2_psnr
205_1_CM,0.954021155834198,0.9777443875686468,30.369098663330078
205_2_CM,0.9542095065116882,0.9781645308447161,30.82164192199707
205_3_CM,0.9637194871902466,0.9836535720896623,33.2789421081543
205_4_CM,0.9641996026039124,0.9837513189982088,33.959266662597656
205_5_CM,0.9639065861701965,0.98375207393925,33.16358184814453
156_1_CM,0.9650283455848694,0.9839233521499275,34.38729476928711
156_2_CM,0.9624361991882324,0.9825558815209888,33.12456512451172
156_3_CM,0.963371217250824,0.9828979005341867,33.7972297668457
156_4_CM,0.964957058429718,0.9833109443687502,31.488021850585938
156_5_CM,0.9623161554336548,0.9822504613609544,31.095556259155273
157_1_CM,0.9619347453117371,0.9824305188132315,34.21961975097656
157_2_CM,0.9653183221817017,0.9844537567749947,34.767642974853516
157_3_CM,0.964340090751648,0.9839847399496255,34.83995819091797
157_4_CM,0.9642210602760315,0.9836496908015597,34.34493637084961
157_5_CM,0.9602450132369995,0.9815632268055989,33.022560119628906
158_1_CM,0.9593639969825745,0.9811815768664679,33.487491607666016
158_2_CM,0.958526074886322,0.9806876769119098,33.93810272216797
158_3_CM,0.9607985615730286,0.9818601022156266,34.084224700927734
158_4_CM,0.9592486023902893,0.9808800960824442,34.27606964111328
158_5_CM,0.959596574306488,0.9815013086053429,34.2592658996582
162_1_CM,0.9645919799804688,0.9838645519676795,34.29415512084961
162_2_CM,0.9632959961891174,0.9830939029080835,34.15346908569336
162_3_CM,0.9614652395248413,0.982111277519404,34.023746490478516
162_4_CM,0.962761402130127,0.9826656012443957,33.60331344604492
162_5_CM,0.9612171053886414,0.9821659194655047,33.84275817871094
163_1_CM,0.9648481011390686,0.983783422195628,34.48006820678711
163_2_CM,0.967031717300415,0.9849979518560088,34.78826904296875
163_3_CM,0.9678637385368347,0.9852598876937273,34.38808822631836
163_4_CM,0.9665201902389526,0.9846700006084776,34.949581146240234
163_5_CM,0.9675288200378418,0.985356623636781,34.839805603027344
165_1_CM,0.969647228717804,0.9865562270056576,35.579185485839844
165_2_CM,0.9663852453231812,0.9845371762665822,34.13413619995117
165_3_CM,0.9677411913871765,0.984985399409586,33.48373031616211
165_4_CM,0.965509295463562,0.9839860511179518,33.542755126953125
165_5_CM,0.96611088514328,0.984390525564424,34.05604934692383
175_1_CM,0.9638635516166687,0.9832287952675514,33.7789192199707
175_2_CM,0.9651902318000793,0.983853787947049,33.720149993896484
175_3_CM,0.9632628560066223,0.9828026645879505,33.14249038696289
175_4_CM,0.9674404263496399,0.9851907448496252,34.651710510253906
175_5_CM,0.9666436910629272,0.9846915188481294,34.055381774902344
178_1_CM,0.960925817489624,0.9822950262295089,34.68496322631836
178_2_CM,0.9606857895851135,0.982258965006329,34.45700454711914
178_3_CM,0.96181321144104,0.9829037513078562,34.99910354614258
178_4_CM,0.9648724794387817,0.9842757237008071,35.380760192871094
178_5_CM,0.9598186612129211,0.9819014602986906,34.89826965332031
180_1_CM,0.9620441198348999,0.9825730028534966,34.23937225341797
180_2_CM,0.962859570980072,0.9831466796349543,34.17595672607422
180_3_CM,0.966152012348175,0.9849200210567273,35.525779724121094
180_4_CM,0.9644996523857117,0.9840086939235443,34.93948745727539
180_5_CM,0.9606685042381287,0.9816959986923052,33.963462829589844
181_1_CM,0.9585168957710266,0.9800596248282348,29.57373809814453
181_2_CM,0.9658063650131226,0.9845880968154583,35.15480041503906
181_3_CM,0.9689421653747559,0.9862028563526443,35.55793762207031
181_4_CM,0.968599259853363,0.9860145692825545,35.65479278564453
181_5_CM,0.966748058795929,0.9851768104678652,35.441864013671875
184_1_CM,0.9643498063087463,0.9833264896456997,32.51116180419922
184_2_CM,0.9676881432533264,0.9856603418036665,35.50307083129883
184_3_CM,0.9693465232849121,0.9864271618932692,35.76795196533203
184_4_CM,0.9663253426551819,0.9847676228680533,35.02962875366211
184_5_CM,0.9687144756317139,0.9863492635898705,35.85996627807617
185_1_CM,0.9568275213241577,0.9796501412331141,32.834476470947266
185_2_CM,0.9546247720718384,0.9785685381459477,32.9525260925293
185_3_CM,0.9581746459007263,0.9804523135559201,33.0045280456543
185_4_CM,0.9605172276496887,0.9816434250364667,32.47705078125
